File,Field,Value
1-s2.0-S093336572200046X-main,Datasets (train),
1-s2.0-S093336572200046X-main,Datasets (eval),
1-s2.0-S093336572200046X-main,Family,
9886_CoVT_CXR_Building_Chain_o,Family,
MEDIFICS_Model_Calling_Enhanced_VLM_for_Medical_VQA,Family,
Multi-Modal_Understanding_and_Generation_for_Medical_Images_and_Text_via_Vision-Language_Pre-Training,Family,
Vision_Transformer_and_Language_Model_Based_Radiology_Report_Generation,Family,
nihpp-rs4546309v1,Datasets (train),
nihpp-rs4546309v1,Datasets (eval),
s41467-023-40260-7,Family,
strotzer-et-al-2024-toward-foundation-models-in-radiology-quantitative-assessment-of-gpt-4v-s-multimodal-and,Family,
