File,Modality,Datasets (train),Datasets (eval),Paired,VLM?,Model,Class,Task,Vision Enc,Lang Dec,Fusion,Objectives,Family,RAG,Metrics(primary)
1-s2.0-S093336572200046X-main,X-Ray,NIH ChestX-ray14,NIH ChestX-ray14,Not reported,Not reported,Not reported,Not reported,report-generation,Not reported,LLaMA,Not reported,Not reported,Not reported,Yes,"Accuracy, BLEU, F1, ROUGE"
1-s2.0-S1361841522001578-main,X-Ray,"CheXpert, IU X-ray, MIMIC-CXR","CheXpert, IU X-ray, MIMIC-CXR",Not reported,Yes,CheXpert,Not reported,report-generation,"ResNet50, CNN",LLaMA,Not reported,Not reported,Not reported,Yes,"Accuracy, BLEU, CIDEr, F1, ROUGE, RadGraph"
1-s2.0-S1361841523000592-main,X-Ray,"CheXpert, IU X-ray, MIMIC-CXR","CheXpert, IU X-ray, MIMIC-CXR",Yes,Yes,ALBEF,Not reported,report-generation,"ResNet50, CNN",LLaMA,Not reported,Not reported,ALBEF,Yes,"Accuracy, BLEU, CIDEr, F1, ROUGE"
1-s2.0-S1532046423000023-main,X-Ray,"IU X-ray, MIMIC-CXR","IU X-ray, MIMIC-CXR",Not reported,Yes,ALBEF,Not reported,report-generation,"ResNet50, CNN",LLaMA,Not reported,Not reported,ALBEF,Yes,"Accuracy, BLEU, METEOR, ROUGE"
1-s2.0-S2352914821000472-main,X-Ray,"CheXpert, IU X-ray, NIH ChestX-ray14","CheXpert, IU X-ray, NIH ChestX-ray14",Not reported,Yes,CheXNet,Not reported,report-generation,"ResNet50, CNN",LLaMA,Not reported,Not reported,Not reported,Yes,"BLEU, CIDEr, METEOR, ROUGE"
108_transforming_radiology_workflo,X-Ray,"MIMIC-CXR, NIH ChestX-ray14, Open-i","MIMIC-CXR, NIH ChestX-ray14, Open-i",Yes,Yes,TrMRG,Not reported,report-generation,ViT,"GPT-2, Transformer",Not reported,Not reported,Not reported,Not reported,"Accuracy, METEOR, ROUGE"
2020.emnlp-main.112,X-Ray,"CheXpert, IU X-ray, MIMIC-CXR, NIH ChestX-ray14, Open-i","CheXpert, IU X-ray, MIMIC-CXR, NIH ChestX-ray14, Open-i",Not reported,Yes,CheXpert,Not reported,report-generation,"ResNet50, CNN",LLaMA,Not reported,Not reported,Not reported,Yes,"Accuracy, BLEU, F1, METEOR, ROUGE"
2022.aacl-main.47,X-Ray,"CheXpert, IU X-ray, MIMIC-CXR","CheXpert, IU X-ray, MIMIC-CXR",Not reported,Yes,CheXpert,Not reported,report-generation,ViT,LLaMA,Not reported,Not reported,Not reported,Yes,"Accuracy, BLEU, F1, METEOR, ROUGE, RadGraph"
2024.bionlp-1.50,X-Ray,"CheXpert, MIMIC-CXR, NIH ChestX-ray14, Open-i, PadChest","CheXpert, MIMIC-CXR, NIH ChestX-ray14, Open-i, PadChest",Not reported,Yes,CheXpert,Not reported,report-generation,ViT,LLaMA,Not reported,Not reported,Not reported,Yes,"BERTScore, BLEU, CheXbert, F1, ROUGE, RadGraph"
2024.lrec-main.529,X-Ray,MIMIC-CXR,MIMIC-CXR,Not reported,Yes,ALBEF,Not reported,report-generation,ViT,LLaMA,cross-attention,Not reported,ALBEF,Yes,"Accuracy, BERTScore, BLEU, F1, ROUGE"
3583780.3614961,X-Ray,"IU X-ray, MIMIC-CXR","IU X-ray, MIMIC-CXR",Yes,Yes,ALBEF,Not reported,report-generation,ViT,"GPT-2, T5, Transformer",cross-attention,Not reported,ALBEF,Yes,"Accuracy, BLEU, CIDEr, ROUGE"
